Row Labels,Sum of Female Norway,Sum of Female Denmark
1846,11725,15329.91
1847,13640,15690.97
1848,13715,15238.01
1849,12437,16089.96
1850,11693,14154.02
1851,11748,13785.91
1852,12616,14971.99
1853,13130,18632.01
1854,11464,14393.99
1855,12441,14953.98
1856,12482,14098.04
1857,12923,16662.98
1858,12205,17789.94
1859,13234,15657.98
1860,13509,15960.01
1861,15597,14503.07
1862,16090,14906.04
1863,15239,14966.02
1864,14825,19039.99
1865,13795,19141.03
1866,14223,17650.97
1867,15515,17131.94
1868,15449,16774.98
1869,14435,16873.01
1870,13748,16771.06
1871,14523,17398.97
1872,14354,16657.98
1873,14752,17038.02
1874,15953,17997.93
1875,16571,19354.01
1876,16851,18257.99
1877,15455,17608.98
1878,14618,17796.05
1879,14229,18896.01
1880,15160,19783.97
1881,16002,17844.9
1882,17631,19097.02
1883,16432,18396.95
1884,15830,18550
1885,15947,18057.99
1886,15715,18942
1887,15850,19112.94
1888,16908,20787.91
1889,17265,19534.96
1890,17719,20404.98
1891,17359,21876.09
1892,17754,21193.02
1893,16308,20760.07
1894,16942,19472.01
1895,16057,18915.02
1896,15463,17485.97
1897,15902,18861.09
1898,16157,17865
1899,18117,20150.02
1900,17359,19919.99
1901,16465,18683
1902,15652,17849.03
1903,16829,18111
1904,16446,17457
1905,17222,19016.98
1906,15864,17250.98
1907,16729,18540.01
1908,16701,19297
1909,15952,17655.96
1910,16011,17197.01
1911,15615,18212.06
1912,16312,18195
1913,16085,17734.04
1914,16511,17630.92
1915,16596,18607.1
1916,17154,19440.01
1917,17175,19751.89
1918,21737,19801.99
1919,17866,20302
1920,16823,20394.96
1921,15251,18585.02
1922,16445,20369.06
1923,15864,19273.03
1924,15546,19373.93
1925,15225,19012.97
1926,15126,19478
1927,15585,20665
1928,15290,19618.04
1929,16148,20344.1
1930,14913,19479.96
1931,15565,20756.98
1932,15340,20398
1933,14591,19615.01
1934,14296,19196.78
1935,15163,20737.87
1936,15228,20707.9
1937,15221,20289.97
1938,14564,19593.96
1939,14999,19197.99
1940,15439,19942.99
1941,15387,19857
1942,14774,18777.01
1943,14630,18970
1944,15391,20640
1945,14427,21123
1946,14507,20987
1947,14976,19802
1948,14084,17442
1949,14668,18487
1950,14799,19405
1951,13730,18714
1952,14112,19030
1953,13910,19286
1954,14293,19284
1955,14271,18420
1956,14403,18760
1957,14826,19788
1958,15094,19568
1959,15151,20120
1960,15419,20635
1961,15566,20207
1962,16010,20974
1963,17532,21238
1964,16506,21459
1965,16127,22036
1966,16503,22699
1967,16466,21893
1968,17274,21620
1969,17629,21868
1970,17370,22103
1971,17668,22031
1972,17887,22963
1973,18068,22804
1974,17979,23295
1975,18167,23125
1976,18291,24752
1977,18080,22961
1978,18604,24176
1979,18977,24945
1980,18734,25742
1981,19075,25995
1982,18823,25885
1983,19305,26835
1984,19576,27007
1985,20589,27844
1986,20098,27846
1987,20951,27913
1988,21649,28674
1989,21569,28946
1990,22155,29756
1991,21778,29496
1992,21660,30279
1993,22828,31536
1994,21723,30563
1995,22170,31860
1996,21754,30655
1997,22333,30385
1998,22045,29458
1999,22744,30363
2000,22337,29724
2001,22351,29934
2002,22822,30289
2003,21913,29428
2004,21209,28309
2005,21119,28157
2006,21625,28293
2007,21738,28559
2008,21390,27740
2009,21537,27935
2010,21472,27606
2011,21324,26577
2012,21920,26414
2013,21306,26359
2014,20688,25646
2015,20987,26272
2016,21043,26408
2017,21125,26391
2018,20970,27240
2019,20705,26503
2020,20568,26650
,,
,,
