Row Labels,Sum of Male Norway,Sum of Male Denmark
1846,12162,15919
1847,13849,16189.03
1848,14201,16140.93
1849,12789,17414
1850,12278,15190
1851,12344,14804.04
1852,12949,15845.98
1853,13261,19203.04
1854,11898,15335.99
1855,12921,15202.97
1856,12875,14564.03
1857,13094,17104.92
1858,12591,18597.93
1859,13504,16610.02
1860,13889,16564.01
1861,15896,15444.03
1862,16412,15294.1
1863,15837,15366.92
1864,14867,20059.98
1865,14271,20125
1866,14782,18055.97
1867,16185,17420.98
1868,16288,17041.02
1869,15099,16907.99
1870,14374,17319.97
1871,15044,17675.95
1872,14818,16775.02
1873,15076,17212.05
1874,16499,19048
1875,17224,20068.96
1876,17582,19107
1877,16044,18196.96
1878,15070,17996.02
1879,14555,19635.03
1880,15590,20452.96
1881,16607,18626.02
1882,17928,19641.03
1883,16598,19005.99
1884,16145,19047.06
1885,16354,18942.06
1886,16049,19133.92
1887,16051,19531.93
1888,17150,21080.04
1889,17856,20468.98
1890,18202,20972.05
1891,17997,22077.99
1892,18521,21886.03
1893,17116,21535.03
1894,17840,20035.95
1895,16614,19657.97
1896,16527,18603.02
1897,16944,19880.07
1898,16994,18806
1899,18891,21326.95
1900,17994,20971.04
1901,17295,20103
1902,15927,18575.03
1903,17170,18844.96
1904,16363,18446.02
1905,16893,19580.98
1906,15761,17980.03
1907,16535,18735
1908,16612,19774.95
1909,16056,18180.94
1910,16077,17987.06
1911,16030,18980.01
1912,16373,18237.99
1913,16339,17577.99
1914,16739,18229.92
1915,16867,18517
1916,17473,19825.01
1917,17235,19471.97
1918,22202,19236.03
1919,17788,19287.98
1920,16648,19446.01
1921,15258,17630.02
1922,15919,19083.12
1923,15476,18629.98
1924,15153,18716.93
1925,15098,18069.77
1926,14602,18614.98
1927,15322,19524.98
1928,14792,18865.95
1929,15675,19141.99
1930,14538,18694.07
1931,14999,19821.03
1932,14668,19302.9
1933,14236,18671.95
1934,13975,18853.04
1935,14547,20077.96
1936,14821,20210.8
1937,14943,20151.99
1938,14632,19464.02
1939,14871,19337.03
1940,16514,19786.97
1941,16392,19864
1942,16722,18698
1943,16520,18953
1944,16944,20411
1945,15257,21093
1946,14501,21009
1947,14804,20227
1948,14243,18527
1949,14304,19298
1950,14794,19887
1951,13925,19239
1952,14277,20143
1953,14513,20063
1954,14848,20601
1955,14845,20368
1956,15455,20827
1957,15783,21943
1958,16370,21993
1959,16603,22039
1960,17122,23037
1961,17746,23102
1962,18300,24361
1963,19318,24536
1964,18665,25352
1965,19189,25847
1966,19470,26644
1967,19710,25941
1968,20349,25667
1969,21337,26074
1970,21339,26127
1971,21307,26837
1972,21483,27482
1973,21890,27722
1974,21485,28338
1975,21894,27768
1976,21925,29248
1977,21744,27524
1978,22078,28687
1979,22655,29709
1980,22606,30193
1981,22818,30362
1982,22631,29481
1983,22919,30320
1984,23005,30101
1985,23783,30533
1986,23462,30252
1987,24008,30222
1988,23705,30307
1989,23604,30449
1990,23866,31151
1991,23145,30085
1992,23071,30542
1993,23769,31273
1994,22348,30536
1995,23020,31267
1996,22106,30388
1997,22262,29540
1998,22067,28984
1999,22426,28793
2000,21665,28262
2001,21630,28404
2002,21643,28321
2003,20565,28146
2004,19991,27497
2005,20113,26805
2006,19628,27230
2007,20216,27045
2008,20322,26851
2009,19912,26937
2010,20027,26762
2011,20069,25939
2012,20072,25911
2013,19976,26111
2014,19706,25694
2015,19740,26283
2016,19683,26416
2017,19649,26870
2018,19870,27992
2019,19979,27455
2020,20043,27995
,,
,,
